"collection"	"corpus"	"child"	"sex"	"age"	"transcript_id"	"utterance"	"words"	"id"
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"you want to look your bag"	6	1
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"yeah"	1	2
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"why dis got holes"	4	3
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"surprise"	1	4
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"stay"	1	5
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"stay"	1	6
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"stay"	1	7
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"stay"	1	8
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"cake"	1	9
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"cake"	1	10
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"cake"	1	11
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"I fall broke my head"	5	12
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"cake"	1	13
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"tell me story"	3	14
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"she xxx"	2	15
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"a tractor"	2	16
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"tell me story"	3	17
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"see me hop"	3	18
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"I like to play with something else"	7	19
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"tape recorder"	2	20
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"goodbye"	1	21
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"let's open it"	4	22
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"let's play a game"	5	23
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"I want to play with dis"	6	24
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"what is it"	3	25
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"what is dis"	3	26
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"what is dis"	3	27
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"dat's a watch"	4	28
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"what is dis"	3	29
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"fourteen clock"	2	30
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"put that thing it's can't fall on Daddy desk"	11	31
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"what is dis"	3	32
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"fourteen o'clock"	3	33
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"stop it"	2	34
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"a cord"	2	35
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"yes"	1	36
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"stop it"	2	37
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"a cord"	2	38
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"turn back on"	3	39
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"yeah"	1	40
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"has wings"	2	41
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"turn it"	2	42
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"Daddy's desk"	3	43
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"how do you know"	4	44
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"stop it"	2	45
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"ups_a_daisy"	3	46
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"it's fourteen clock"	4	47
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"dis one don't fit"	5	48
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"a clock"	2	49
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"enough clock"	2	50
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"a clock"	2	51
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"I going find another one fit"	6	52
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"in go clock"	3	53
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"what dat"	2	54
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"a tape recorder"	3	55
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"Mommy a cord"	3	56
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"I don't know"	4	57
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"where is a box"	4	58
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"do you want me zip it"	6	59
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"yeah a cord"	3	60
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"it's fourteen clock"	4	61
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"you said it"	3	62
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"it not fourteen clock it nineteen six how do you know"	11	63
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"what is dis"	3	64
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"let's play a game"	5	65
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"it's not six it number two"	7	66
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"let's play game in here"	6	67
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"what de fuse do"	4	68
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"how do you know it going eat supper"	8	69
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"let's play a game"	5	70
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"xxx a light"	3	71
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"wait a minute"	3	72
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"how about eat supper"	4	73
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"light"	1	74
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"light"	1	75
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"a clock"	2	76
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"it's fourteen o'clock"	5	77
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"what is dis a cord"	5	78
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"moving van"	2	79
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"well well"	2	80
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"I going make it all fix"	6	81
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"it's fourteen clock clock"	5	82
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"a light"	2	83
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"yeah"	1	84
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"achoo"	1	85
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"we going to have some ginger ale"	7	86
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"what in it"	3	87
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"let me stop it"	4	88
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"what is that"	3	89
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"let me turn on"	4	90
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"some ginger ale"	3	91
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"ginger ale"	2	92
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"xxx put in"	3	93
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"ginger ale"	2	94
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"put in"	2	95
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"you know how to put it back together"	8	96
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"ginger ale"	2	97
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"it's go to sleep"	5	98
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"I say too loud it"	5	99
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"let me put you back"	5	100
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"no you know how put"	5	101
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"do you want me open it"	6	102
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"I can't how to put it back together"	9	103
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"you open it"	3	104
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"what is that"	3	105
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"I can't"	3	106
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"you"	1	107
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"you put it back"	4	108
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"you going tape"	3	109
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"a clock"	2	110
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"tick tick+tock"	3	111
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"dat stuck"	2	112
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"stuck"	1	113
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"on boat"	2	114
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"you wind it"	3	115
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"you screw it"	3	116
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"xxx stuck"	2	117
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"you want pencil"	3	118
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"I want some espresso"	4	119
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"you"	1	120
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"espresso"	1	121
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"it's fourteen o'clock"	5	122
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"dis blue"	2	123
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"it's fourteen o'clock"	5	124
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"a piece of coffee"	4	125
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"do you want one Paul"	5	126
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"I have enough"	3	127
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"coffee"	1	128
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"I have enough"	3	129
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"I want some espresso"	4	130
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"ups_a_daisy"	3	131
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"dere"	1	132
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"do you want me look something"	6	133
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"dese are mine"	3	134
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"let me have one"	4	135
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"let me tell you a story"	6	136
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"another one's that"	4	137
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"something in there"	3	138
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"dis one"	2	139
"Eng-NA"	"Brown"	"Adam"	"male"	36.8	3292	"you play another game with me"	6	140
"Eng-NA"	"Brown"	"Adam"	"male"	37.3	3293	"Mommy"	1	141
"Eng-NA"	"Brown"	"Adam"	"male"	36.4	3291	"tell you story"	3	142
