"collection"	"corpus"	"child"	"sex"	"age"	"transcript_id"	"utterance"	"words"	"id"
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"no take that off"	4	1
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"take it"	2	2
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"please"	1	3
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"what is that"	3	4
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"show me to me"	4	5
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"is it a pin"	4	6
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"no I'll squirt it now though"	7	7
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"I already squirted that one"	5	8
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"oh get it off"	4	9
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"no it don't need squirting again"	7	10
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"no it wasn't thirsty"	5	11
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"don't take it all away"	6	12
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"I didn't squirt the lamp"	6	13
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"don't take it all away"	6	14
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"because it wasn't thirsty either"	6	15
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"yeah and I squirted them"	5	16
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"don't uh I said"	5	17
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"don't take it all away"	6	18
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"Daddy Daddy can you help me reach up here to get the sink"	13	19
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"is it long"	3	20
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"okay"	1	21
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"more water"	2	22
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"my squirter is all empty"	5	23
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"about long it's about long that about long"	9	24
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"no cow okay"	3	25
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"plants"	1	26
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"it is for catch cows"	5	27
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"because plants are thirsty"	4	28
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"I'm gonna catch cows when I get high like my Daddy"	12	29
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"thanks"	1	30
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"it doesn't work"	4	31
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"the cows will come"	4	32
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.8	3630	"you could read to me on here"	7	33
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"can you fix it"	4	34
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"and I'll catch them with this see"	8	35
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.8	3630	"hey"	1	36
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.8	3630	"you"	1	37
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"don't squirt me"	4	38
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.2	3628	"it's a cow"	4	39
"Eng-NA"	"Kuczaj"	"Abe"	"male"	36.5	3629	"I'm not a plant"	5	40
