"collection"	"corpus"	"child"	"sex"	"age"	"transcript_id"	"utterance"	"words"	"id"
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"they weren't able to sleep"	6	1
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"we're going to see them next year when they wake up"	12	2
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"did you come here when you was a little baby"	10	3
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"do you got the right money"	6	4
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"I want to go poo"	5	5
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"actually I don't want to go poo because I want to make a snowman"	15	6
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"I jumped over it"	4	7
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"we're locked and closed"	5	8
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"papa we forgot to go ice skate"	7	9
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"yeah"	1	10
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"hot chocolate"	2	11
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"I just want one chocolate"	5	12
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"we forgot to go like that"	6	13
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"okay and don't turn the heat on"	8	14
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"yeah"	1	15
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"will you quit it out"	5	16
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"no"	1	17
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"no"	1	18
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"because I'm tired of you"	6	19
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"because he get sick"	4	20
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"can I eat this cookie"	5	21
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"okay"	1	22
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"do you have a cookie that I can eat"	9	23
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"yeah"	1	24
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"do you have a cookie for me to eat"	9	25
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"the Hulk get the part"	5	26
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"do you have a cookie to put on the big Christmas tree"	12	27
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"is my old baby blanket is clean"	7	28
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6075	"don't cut myself"	4	29
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6075	"why is not bigger"	4	30
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"you be the broom and I'll be the witch and Marky'll be the black cat"	17	31
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6075	"go up me"	3	32
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"he's apart"	3	33
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6075	"Mark is this years older and I'm this years old"	11	34
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"and I will be the witch"	6	35
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"I got idea"	3	36
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6075	"somebody said me not to drive my car"	8	37
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"you be the witch and him be the black cat and you be the bat and I be the pumpkin"	20	38
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"he broke that man"	4	39
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6075	"somebody said not to me to drive my car"	9	40
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6075	"the ghost said"	3	41
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"pum pum pum"	3	42
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"he say rrraar"	3	43
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"rrraar"	1	44
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"and then he says Little Jack Horner sat in the corner eating the Christmas pie"	15	45
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6074	"pum pum pum"	3	46
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6075	"yeah"	1	47
"Eng-NA"	"MacWhinney"	"Ross"	"male"	36	6073	"and he put in his thumb and took out a plum and said oh oh what a good boy am I"	21	48
