"collection"	"corpus"	"child"	"sex"	"age"	"transcript_id"	"utterance"	"words"	"id"
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"I want another present"	4	1
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"yeah"	1	2
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"I wanna get some more presents in closet in your room"	11	3
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"I want the other birthday presents"	6	4
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"I want the"	3	5
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"I want these ones"	4	6
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"oh I wanna shake the bag"	6	7
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"okay"	1	8
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"I wanna shake them in the bag"	7	9
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"uh I wanna put them in the bag and shake them"	11	10
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"yeah"	1	11
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"balloon"	1	12
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"in the living room"	4	13
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"yeah"	1	14
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"in just a minute okay"	5	15
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"I'm going to dump them all out"	8	16
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"I'm going to save these for my other birthday"	10	17
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"am I gonna have am I gonna have some more birthdays"	11	18
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"at my home"	3	19
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"and where where where my other birthday party"	8	20
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"no my other birthday party"	5	21
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"Spencer and Justin"	3	22
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"Karen and Nina"	3	23
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"yup"	1	24
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"Maggie"	1	25
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"a turtle"	2	26
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"bubbles"	1	27
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"they blowed away"	3	28
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"yup"	1	29
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"and they blowed away"	4	30
"Eng-NA"	"Suppes"	"Nina"	"female"	36.1	6899	"a"	1	31
